stencil,orientation,invoice_number,cone_size,number_of_lines,misc_info,date_of_inventory,silkscreen,warehouse
BPW,VER,151433,D-TOP,,,2022-07-12,,TX
BPW,HRZ,151478,"28""",,,2022-07-14,,TX
BARTEL COMMUNICATIONS,HRZ,152974,"28""",,ORDERED AS SILKSCREEN,2022-09-09,,TX
BLACK & MCDONALD,HRZ,154274,"28""",3 LINE,ORDERED AS SILKSCREEN,2022-10-31,,TX
BRIARWOOD & TUTTLE SCHOOLS,HRZ,154599,"28""",,ORDERED AS SILKSCREEN,2022-11-10,,TX
BRADANNA logo,HRZ,155291,"36""",,ORDERED AS SILKSCREEN,2022-12-14,,TX
BCPD,VER,159416,"18""",,,2023-05-10,,TX
BESSEMER PD,HRZ,162178,"36""",2 LINE,Converted to OES font 1/30/24 SO 167084,2023-08-04,,TX
BANK INDEPENDENT  logo,HRZ,162713,"28""",,ORDERED AS SILKSCREEN,2023-08-21,,TX
BELLAIRE PARKS,HRZ,162900,"28""",2 LINE,,2023-08-25,,TX
BAHA MAR  logo,HRZ,163861,"28""",2 LINE,ORDERED AS SILKSCREEN,2023-09-26,,TX
THE BROOKWOOD COMMUNITY  logo,HRZ,165352,"28""",,White Ink,2023-11-15,,TX
BCRD,HRZ,165547,"28""",,,2023-11-27,,TX
BURTON,VER,166278,"36""",,,2024-01-03,,TX
BISHOP MOMO logo,HRZ,168231,"28""",,ORDERED AS SILKSCREEN,2024-03-05,,TX
BCOMM,HRZ,168329,"28"" Slim",,,2024-03-07,,TX
BPW,VER,169199,D-TOP,,,2024-04-03,,TX
BPD,HRZ,169432,"12""",,,2024-04-10,,TX
BADGER DAYLIGHTING,HRZ,172562,"28"" Slim & 36""",,,2024-07-17,,TX
BUTCH'S,HRZ,176248,"28"" RED",,OES font,2024-01-11,,TX
BCOMM,HRZ,400364,"28""",,ORDERED AS SILKSCREEN,2025-08-04,,TX
CFW/SSD,HRZ,,,,,,,TX
CITY OF WEBSTER CITY,HRZ,,,,,,,TX
CITY OF BEDFORD,HRZ,,,,,,,TX
CC-ENT,HRZ,,,,,,,TX
CFW/BRG,HRZ,,,,,,,TX
CITY OF HOMESTED,HRZ,,,,,,,TX
CITY OF HEMPSTEAD,HRZ,,,,,,,TX
CFW BGR,HRZ,,,,,,,TX
CFW SSD,HRZ,,,2-LINES,,,,TX
"C.O, HALLETSVILLE",HRZ,,,,,,,TX
CITY OF WASKOM,HRZ,S11884,,,,2012-06-13,,TX
CITY OF PLASTINE PD,HRZ,S11887,,,,2012-06-13,,TX
CTY OF HENDERSON,HRZ,,,,,,,TX
CITY OF HENDERSON PUBLIC WORKS,HRZ,,,,,,,TX
CITY OF HUNTSVILLE,HRZ,,,,,,,TX
CFW T/ PW STREETS,HRZ,,,,,,,TX
CFW POLICE,HRZ,,,,,,,TX
CC RB,HRZ,,,,,,,TX
CITY OF PALESTINE,HRZ,,,,,,,TX
COW STREETS,HRZ,,,,,,,TX
CFW TRADES,HRZ,,,,,,,TX
CO KILEEN,HRZ,,,,,,,TX
COH PW,HRZ,,,,,,,TX
CFW SW,HRZ,,,,,,,TX
COH,HRZ,,,,,,,TX
COH PUBLIC WORKS,HRZ,,,,,,,TX
CRPW,HRZ,,,,,,,TX
COW WATER,HRZ,,,,,,,TX
CFW T/ PW TRAFFIC,HRZ,,,,,,,TX
CRPD,HRZ,,,,,,,TX
CFW WATER FIELD OPS,HRZ,,,,,,,TX
CITY OF CARTHAGE,HRZ,,,,,,,TX
COA,HRZ,,,,CONVERTED TO SILKSCREEN 8/13/19,,,TX
C&CD SMD,HRZ,,,,,,,TX
C&CD SMD,VER,,,,,,,TX
CITY OF GREENVILLE,HRZ,,,,,,,TX
CITY OF CEDAR PARK DEPT 33,HRZ,,,,,,,TX
CITY OF GARDEN RIDGE PUBLIC WORKS DEPT,HRZ,,,,,,,TX
CITY OF IRVING,HRZ,,,,,,,TX
CU OF S MO,VER,,,,,,,TX
COK STREETS,VER,,,,,,,TX
CHPS,VER,,,,,,,TX
CITY OF WAXAHACHIE STREET DEPT,HRZ,S7787,,3-LINE,,,,TX
CLINTON STREET DEPT,HRZ,S7843,,3-LINE,,,,TX
CORR ST. DEPT,HRZ,S7914,,,,,,TX
COH,VER,S7938,,,,,,TX
C.O. PAMPA,HRZ,S7997,,,,,,TX
CITY OF IRVING,HRZ,S8085,,,,,,TX
CPS,VER,,,,,,,TX
COWPERWOOD,VER,,,,,,,TX
CITY OF HOUSTON,VER,,,,,,,TX
CITY OF WEATHERFORD,HRZ,,,,,,,TX
CFW-845,HRZ,S8188,,,,,,TX
COB TRAFFIC,VER,S8493,,,,,,TX
CABLE ONE,HRZ,S8477,,2-LINE,,,,TX
COA TRAFFIC,VER,S8555,,2-LINE,,,,TX
CFW/SCONC,HRZ,S8608,,,,,,TX
CH WATER,HRZ,S8860,,,,,,TX
COG,HRZ,S8926,,,,,,TX
CNB PARD,HRZ,S9323,,,,2010-07-07,,TX
CITY OF FULTON,HRZ,S9415,,2-LINE,,2010-08-04,,TX
CITY OF RICHARDSON DIV.,HRZ,S9491,,3-LINE,,2010-08-25,,TX
CITY OF PFLUGERVILLE,HRZ,S9515,,3-LINE,,2010-09-09,,TX
CFW-100,HRZ,S9547,,,,2010-09-10,,TX
CRW-200,HRZ,S9547,,,,2010-09-10,,TX
CFW-300,HRZ,S9547,,,,2010-09-10,,TX
CFW-500,HRZ,S9547,,,,2010-09-10,,TX
CIT OF RICHARDSON STREET DIV.,HRZ,S9491-1,,3-LINE,,2010-09-13,,TX
CITY OF MILAN WATER DEPT,HRZ,S9574,,3-LINE,,2010-09-16,,TX
CITY OF MILAN STREET DEPT,HRZ,S9575,,3-LINE,,2010-09-16,,TX
CINTAS FIRST AIS & SAFETY,HRZ,S9675,,2-LINE,,2010-10-12,,TX
CITY OF ROYSE CITY,HRZ,S9682,,2-LINE,,2010-10-14,,TX
CITY OF MADISONVILLE,HRZ,S9702,,2-LINE,,2010-10-20,,TX
CITY OF HEWITT,HRZ,S9860,,2-LINE,,2010-12-15,,TX
CFW-400,HRZ,S9905,,,,2011-01-06,,TX
CITY OF PALESTINE,HRZ,S9944,,2-LINE,,2011-01-14,,TX
CITY OF HILLSBORO STREET DEPT,HRZ,S10132,,3-LINE,,2011-03-07,,TX
CITY OF WAYNESBORO,HRZ,S10186,,2-LINE,,2011-03-17,,TX
CH WATER DEPT,HRZ,S10224,,3-LINE,,2011-03-29,,TX
CITY OF FRISCO,HRZ,S10558,,3-LINE,,2011-06-16,,TX
CITY OF REIDSVILLE,HRZ,S10723,,2-LINE,,2011-07-26,,TX
CITY OF SAN DIEGO,VER,S10856,,2-LINE,,2011-08-30,,TX
CHARTER COMM,HRZ,S10950,"36""",,,2011-09-21,,TX
CHARTER COMM,HRZ,S10956,"28""",,SLIM CONE,2011-09-22,,TX
C.O.M STREET DEPT.,HRZ,S10959,,,,2011-09-22,,TX
COMCAST,VER,S10924,"28""",,SLIM CONE,2011-10-05,,TX
CWEMC,HRZ,S11031,"36""",,,2011-10-13,,TX
CBTE,HRZ,S11042,"18""",,TRANSFER FROM NJ,2011-10-17,,TX
CITY OF ROBINSON,HRZ,S11240,,2-LINE,,2011-12-19,,TX
CITY OF ATHENS WATER DEPARTMENT,HRZ,S11531,,4-LINE,,2012-03-12,,TX
CITY OF MCGREGOR,HRZ,S11600,,2-LINE,,2012-03-28,,TX
CITY OF MUSKOGEE STREET DEPT.,HRZ,S11801,,3-LINE,,2012-05-21,,TX
CITY OF BRANSON,HRZ,S12146,,2-LINE,,2012-08-02,,TX
CITY OF OZARK P.W.,HRZ,S12214,,2-LINE,,2012-09-06,,TX
CPAC,HRZ,S12167,"36""",,,2012-09-07,,TX
CITY OF FLORALA,HRZ,S12607,,2-LINE,,2012-12-14,,TX
CITY OF OPP,HRZ,S12615,,2-LINE,,2012-12-14,,TX
COR STREETS,HRZ,S12787,,,,2013-02-05,,TX
CITY OF WP STREET DEPT,HRZ,S12868,,,,2013-02-26,,TX
CITY OF PECOS UTILITY DEPT,HRZ,S12897,"18""",3-LINE,,2013-03-04,,TX
COT-FORESTRY,VER,S13126,,,,2013-04-16,,TX
CABLE AMERICA,HRZ,,,2-LINE,,2013-05-29,,TX
CITY OF LOGANVILLE,HRZ,,,2-LINE,,2013-07-09,,TX
CITY OF CALHOUN CITY,HRZ,,,,,2013-07-11,,TX
CITY OF MONETT,HRZ,S13659,,,,2013-08-12,,TX
CASSVILLE PUBLIC WORKS,HRZ,S13740,,3-LINE,,2013-08-15,,TX
COW,VER,S13764,,,,2013-08-21,,TX
CITY OF WAMEGO,HRZ,S13763,,2-LINE,,2013-08-21,,TX
CAW,HRZ,S13778,,,CONVERTED TO SILKSCREEN 3/31/20 123478,2013-08-23,,TX
CITY OF ENID,HRZ,S13800,,2-LINE,,2013-08-28,,TX
CWL,VER,S13826,,Svg file sent 03/24/25 SO# 80273,,2013-09-03,,TX
CH WATER,HRZ,S13931,,,,2013-09-20,,TX
CITY OF TERRELL,HRZ,S13928,,3-LINE,,2013-09-20,,TX
CITY OF MANVEL,HRZ,S13930,,2-LINE,,2013-09-23,,TX
COK,HRZ,S13953,,,,2013-09-25,,TX
CCPD,VER,S14141,,,,2013-11-01,,TX
CITY OF PLUMERVILLE,HRZ,S14149,,2-LINE,,2013-11-05,,TX
COS-DPW,HRZ,S14208,,,,2013-11-13,,TX
CARUME CONTRACTING,HRZ,S14305,,2-LINE,,2013-12-06,,TX
CITY OF GREENVILLE SEWER,HRZ,S14371,,2-LINE,,2014-01-03,,TX
CITY OF MAUMELLE,HRZ,S14496,,2-LINE,,2014-01-29,,TX
CONCHO VALLEY ELECTRIC CO-OP,HRZ,S14513,,4-LINE,,2014-01-31,,TX
CAUTION,VER,S14542,,,,2014-02-06,,TX
CITY OF MARSHALL,HRZ,S15024,,2-LINE,,2014-04-25,,TX
CITY OF MUSK PUBLIC WORKS,HRZ,S15100,,2-LINE,,2014-05-09,,TX
COA-PW,HRZ,S15802,,,,2014-09-09,,TX
CITY OF PLAESTINE PARKS DEPT,HRZ,S15893,,3-LINE,,2014-09-29,,TX
CAUTION WET PAINT,HRZ,S15979,,3-LINE,,2014-10-21,,TX
CITY OF PECOS,HRZ,S16086,,2-LINE,,2014-11-04,,TX
CCWCID#1,HRZ,S16176,,,,2014-11-06,,TX
CITY OF BONHAM,HRZ,S16218,,,,2014-11-17,,TX
COS,VER,S16275,,,,2014-11-25,,TX
CHPD,HRZ,S16341,,,,2014-12-15,,TX
CY-FAIR VFD,HRZ,S16402,,2-LINE,,2015-01-09,,TX
CITY OF ENID,HRZ,S16660,"28""",2-LINE,,2015-02-16,,TX
CALERA FIRE,HRZ,S16808,"28""",2-LINE,,2015-03-16,,TX
CITY OF ALLEN STREETS,HRZ,S16902,"36""",3-LINE,,2015-04-01,,TX
COMCAST,VER,S16851,,,TRANSFER FROM LA,2015-04-01,,TX
COLORADO BARRICADE,HRZ,,,3-LINE,INCLUDES LOGO AND PHONE #,2015-04-06,,TX
CFW/BRGR,HRZ,S17007,,,,2015-04-20,,TX
CITY OF BEAVER,HRZ,S17198,"28""",2-LINE,,2015-05-12,,TX
CITY OF SEAGOVILLE PUBLIC WORKS,HRZ,S17446,"28""",3-LINE,,2015-06-25,,TX
CFW FORESTRY,HRZ,S17877,"18""",2-LINE,,2015-09-09,,TX
CITY OF BREWTON UTILITY DEPT,HRZ,S18577,"36""",3-LINE,,2016-01-25,,TX
CITY OF HUTCHINS PUBLIC WORKS,HRZ,S18736,"28""",3-LINE,,2016-02-17,,TX
CITY OF MEXIA,HRZ,S18918,"36""",2-LINE,,2016-03-10,,TX
CITY OF OMAHA TRAFFIC MAINT.,HRZ,S18930,"28""",4-LINE,,2016-03-23,,TX
CBI,VER,S19447,,,,2016-05-24,,TX
CITY OF FRISCO FC,HRZ,S19681,"28""",3-LINE,,2016-06-28,,TX
CWEP ELECTRIC,HRZ,S19723,"28""",2-LINE,,2016-07-05,,TX
CITY OF HILLSBORO WATER DEPT.,HRZ,S19884,"28""",3-LINE,,2016-07-25,,TX
CITY OF LAKEWORTH,HRZ,S19884,"28""",2-LINE,,2016-07-25,,TX
CITY OF JONESTOWN P.W.,HRZ,S20026,"28""",3-LINE,,2016-08-18,,TX
CITY OF ALLEN STREETS,HRZ,S20612,"28""",3-LINE,,2016-11-11,,TX
CITY OF WEST COLUMBIA,HRZ,S20661,"28""",3-LINE,,2016-11-16,,TX
COH STREETS,HRZ,S20672,"28""",2-LINE,,2016-11-17,,TX
CITY OF ALEXANDRIA,HRZ,S20961,"28""",2-LINE,,2017-01-10,,TX
COA TRAFFIC,HRZ,S20972,"28""",2-LINE,,2017-01-11,,TX
CAN-FER,HRZ,S21023,"28""",,,2017-01-18,,TX
CABLEWORKS INC,HRZ,S21706,"28""",,,2017-04-07,,TX
CITY OF CARUTHERSVILLE,HRZ,S21791,"28""",2-LINE,WIDE BODY CONE,2017-04-14,,TX
CITY OF RICHARDSON STREETS,HRZ,S21880,"28""",3-LINE,SLIM LINE CONE,2017-04-26,,TX
COS STREET MAINT 2105,HRZ,S22133,"28""",3-LINE,,2017-05-25,,TX
CITY OF BREMOND,HRZ,S22208,"28""",2-LINE,SLIM LINE CONE,2017-06-02,,TX
CPS,HRZ,S22296,"28""",,TRANSFER FROM NJ,2017-06-13,,TX
CITY OF KEENE PUBLIC WORKS,HRZ,S22392,"28""",3-LINE,,2017-06-29,,TX
COI SIGNAL,HRZ,S23058,"28""",2-LINE,SLIM CONE,2017-09-06,,TX
C.O.W. STREET,HRZ,S23146,"28""",2-LINE,,2017-09-12,,TX
CITY OF KILLEEN WATER & SEWER,HRZ,S23161,"28""",4-LINE,,2017-09-14,,TX
COA WATER,HRZ,S23511,"28""",2-LINE,CONVERTED TO SILKSCREEN 9/10/19,2017-10-18,,TX
CAJUNDOME,HRZ,S23531,"18""",,,2017-10-19,,TX
CBTE,HRZ,S23612,"36""",,,2017-10-27,,TX
CLARY'S,VER,S23828,"36""",,,2017-11-14,,TX
COA STORMWATER,HRZ,S23857,"28""",2-LINE,,2017-11-16,,TX
C OF B WUD,HRZ,S24004,"28""",2-LINE,,2017-11-30,,TX
CITY OF CALIFORNIA STREET,HRZ,S23993,"28""",3-LINE,,,,TX
CPB EVENT,HRZ,S24098,"36""",2-LINE,TRANSFER FROM NJ,2017-12-07,,TX
C OF B TM,HRZ,S24102,"28""",2-LINE,,2017-12-20,,TX
CCWS,HRZ,S24277,"36""",,TRANSFER FROM NJ,2018-01-09,,TX
"CABLEWORKS, INC. UNDERGROUND",HRZ,S24373,"28""",2-LINE,,2018-01-17,,TX
COSS TRAFFIC,HRZ,S24365,"36""",2-LINE,CONVERTED TO SILKSCREEN 9/30/19 116985,2018-01-17,,TX
CITY OF SUNRISE PBW,HRZ,S24445,"36""",3-LINE,,2018-01-25,,TX
CY FAIR VFD SAFETY,HRZ,S24475,"28""",2-LINE,,2018-01-25,,TX
CCTC,HRZ,S24574,"36""",,,2018-02-06,,TX
CITY OF MOOREHAVEN,HRZ,S24626,"36""",2-LINE,,2018-02-07,,TX
C-HAWKK,HRZ,S24747,"36""",,,2018-02-20,,TX
COS-PWD,HRZ,S24787,"36""",,,2018-02-26,,TX
CITY OF SHAWNEE TRAFFIC DEPT,HRZ,S24832,"28""",2-LINE,,2018-02-28,,TX
CCPW,HRZ,S24883,"36""",,,2018-03-05,,TX
CAM,HRZ,S24995,"28""",,"FOR SLIM AND REGULAR 28""",2018-03-15,,TX
CO WORKER,VER,S25114,"28""",,,2018-03-20,,TX
CWPB,VER,S25185,"36""",,TRANSFER FROM NJ,2018-03-29,,TX
CITY OF STOCKBRIDGE,HRZ,S25331,"28""",,VER PLACEMENT ON CONE,2018-04-16,,TX
CITY OF SUNRISE STREETS,HRZ,S25505,"36""",3-LINE,,2018-04-26,,TX
COS GREENSCAPES/ ROW 2150,HRZ,S25566,"28""",3-LINE,,2018-04-27,,TX
CITY OF COLOMBIA H20,HRZ,S25572,"36""",2-LINE,TRANSFER FROM NJ/ CONVERTED TO SILKSCREEN 119575,2018-04-27,,TX
CITY OF SIOUX CENTER,HRZ,S25633,"28""",3-LINE,,2018-05-07,,TX
CFWSW,HRZ,S25656,"28""",,,2018-05-16,,TX
C OF B SD,HRZ,S25830,"28""",2-LINE,,2018-05-22,,TX
C OF B S&D,HRZ,S25936,"28""",2-LINE,,2018-05-29,,TX
CCSS,VER,S26045,"36""",,,2018-06-06,,TX
COBB DOT,HRZ,S26086,"28""",,,2018-06-08,,TX
CITY OF BENNINGTON,HRZ,S26148,"18"" & 28""",2-LINE,2 STENCILS; 2 SIZES,2018-06-15,,TX
credit human,VER,S26234,"36""",,,2018-06-26,,TX
COSA STORM WATER,HRZ,100961,"28""",3-LINE,,2018-07-24,,TX
CONT. TRUCK DRIVER TRNG,HRZ,101359,"18""",2-LINE,,2018-08-01,,TX
CTS,VER,101461,"18""",,,2018-08-06,,TX
CFW/N.E.,HRZ,10185,"28""",,,2018-08-14,,TX
CMFD,HRZ,101879,"36""",,,2018-08-15,,TX
CFW 100 ACCT,HRZ,102466,"28""",3-LINE,,2018-08-30,,TX
COSA STREET BRIDGE,HRZ,102600,"28""",3-LINE,,2018-09-05,,TX
COTA,HRZ,102614,"28""",,SLIM CONE,2018-09-05,,TX
C.O.P.,HRZ,102719,"28""",,,2018-09-07,,TX
COOPER CITY PUBLIC WORKS,HRZ,103078,"36""",3-LINE,,2018-09-18,,TX
COSA S&B,VER,103179,D-TOP,,DELINEATOR,2018-09-24,,TX
CWSI,HRZ,103284,"36""",,Converted to silk screen 06/01/23,2018-09-25,,TX
CCPD,HRZ,104107,"18""",,,2018-10-15,,TX
CITY OF LUCAS,HRZ,104478,"28""",2-LINE,,2018-10-24,,TX
CITY OF JACKSONVILLE TRAFFIC ENGINEERING,HRZ,104575,"28""",4-LINE,TRANSFER FROM NJ,2018-10-26,,TX
CITY OF GATESVILLE WATER DEPT.,HRZ,104632,"28""",3-LINE,,2018-10-29,,TX
CITY OF GATESVILLE STREET DEPT.,HRZ,104632,"28""",4-LINE,,2018-10-29,,TX
COH PUBLIC WORKS,HRZ,,"18""",3-LINE,,2018-10-30,,TX
CITY OF SEAGOVILLE,HRZ,104676,"28""",2-LINE,,2018-10-30,,TX
CPD,HRZ,104702,"18""",,,2018-10-31,,TX
CPW,HRZ,104702,"28""",,,2018-10-31,,TX
CITY OF STONEBRIDGE,VER,105582,"28""",,,2018-11-29,,TX
CADDO NATION EPA/EM,HRZ,106957,"28""",3 LINE,,2019-01-21,,TX
CCTC,HRZ,106919,"28""",,SLIM,2019-01-29,,TX
CRAFTING,VER,107252,"18""",,,2019-01-30,,TX
CRATING,VER,107502,"18""",,,2019-02-06,,TX
CITY OF FT. MYERS PUBLIC WORKS,HRZ,107567,"36""",3 LINE,CONVERTED TO SILKSCREEN,2019-02-07,,TX
CMS,VER,107599,"36""",,,2019-02-08,,TX
COBB DOT,VER,108169,"28""",,,2019-02-25,,TX
CITY OF ADAMSVILLE,HRZ,108661,"28""",2 LINE,,2019-03-07,,TX
CAM,HRZ,109141,"18"" & 28""",,"1 STENCIL TO FIT BOTH 18"" & 28""",2019-03-20,,TX
COOK COUNTY ROAD DEPT,HRZ,109192,"28""",2 LINE,,2019-03-21,,TX
CITY OF LAUDERHILL PUBLIC WORKS DEPT.,HRZ,109202,"28""",4 LINE,CONVERTED TO SILKSCREEN,2019-03-21,,TX
CITY OF MT. VERNON,HRZ,109274,"28""",2 LINE,,2019-03-25,,TX
CITY OF HAZLEHURST,HRZ,109313,"36""",2 LINE,,2019-03-25,,TX
CFW/N.W.,HRZ,109244,"28""",,,2019-03-26,,TX
CITY OF DENTON,HRZ,109888,"28""",3 LINE,SLIM CONE,2019-04-08,,TX
CDL,VER,109987,"28""",,,2019-04-09,,TX
CLOSED,VER,109987,"28""",,,2019-04-09,,TX
CDL TEST,VER,109987,"28""",,,2019-04-09,,TX
CFWSW,HRZ,110122,"28""",,,2019-04-11,,TX
COC WWM,HRZ,111488,"36""",2 LINE,CONVERTED TO SILKSCREEN,2019-05-15,,TX
C.O.W.,HRZ,111555,"28""",,,2019-05-15,,TX
CWPD,HRZ,111583,"36""",,CONVERTED TO SILKSCREEN,2019-05-16,,TX
CITY OF LORENA,HRZ,112060,"28""",2 LINE,,2019-05-30,,TX
CSR,HRZ,102604,"28""",,,2019-06-12,,TX
CSPW,HRZ,113032,"36""",,MADE AS SILKSCREEN,2019-06-24,,TX
CPA PUBLIC SAFETY,HRZ,113068,"36""",3 LINE,MADE AS SILKSCREEN,2019-06-25,,TX
CMCJV,VER,113074,"36""",,,2019-06-25,,TX
CITY OF FRISCO STREETS,HRZ,113496,"28"" WIDE BODY",3 LINE,,2019-07-08,,TX
CITY OF FRISCO ENV SVC,HRZ,115219,"28""",3 LINE,,2019-08-20,,TX
CITY OF POTEET,HRZ,115501,"36""",2 LINE,,2019-08-23,,TX
CT&S,VER,115539,"36""",,,2019-08-26,,TX
CITY OF KNOXVILLE,HRZ,114877,"28""",2,CONVERTED TO SILKSCREEN 8/8/19 114877,,,TX
C.O.T.,HRZ,115692,"28""",,,2019-08-29,,TX
CFW/TPW 100ACCT,HRZ,116032,"28""",2 LINE,,2019-09-06,,TX
CHAMP,VER,116053,"28""",,,2019-09-06,,TX
COA SIGNS,HRZ,116172,"28""",2 LINE,MADE AS SILKSCREEN,2019-09-10,,TX
CITY OF IRVING,HRZ,117800,"28"" SLIM",2 LINE,,2019-10-18,,TX
CITY OF KILLEEN,HRZ,118370,"28""",2 LINE,,2019-11-01,,TX
CITY OF DUNCAN,HRZ,119464,"28""",3 LINE,,2019-12-06,,TX
COGSS,HRZ,120257,"18""",,,2020-01-07,,TX
CITY OF FRISCO,HRZ,119970,"28""",2 LINE,ORDERED AS SILKSCREEN,2019-12-20,,TX
CORR DRAINAGE UTILITY,HRZ,121471,"28"" SLIM",3 LINE,,2020-02-10,,TX
CITY OF MOUNT DORA-COLLECTIONS DEPT,HRZ,121542,"36""",3 LINE,,2020-02-11,,TX
CITY OF MOUNT DORA-PUBLIC WORKS DEPT,HRZ,121542,"36""",3 LINE,,2020-02-11,,TX
CITY OF FRISCO ROW DIVISION,HRZ,122010,"28""",3 LINE,,2020-02-24,,TX
